stimulus,p,t,k,f,θ,s,ʃ,ʧ,h,b,d,g,v,ð,z,ʤ,j,m,n,ŋ,l,r,w,miss
p,32.7,9.6,9.4,8.1,4.6,0,0,0,19.6,3.8,1.3,1.3,1.7,0.4,0,0,0.6,0.8,0.2,0,0.2,0.8,0,3.8
t,7.7,48.3,7.7,3.1,5.4,0.6,0.4,1.3,14.0,1.5,0.8,1.7,0.4,2.9,0.8,0,0.2,0.4,0.2,0,0.4,0,0,1.5
k,11.5,13.5,44.6,1.3,3.5,0,0.2,1.5,14.0,1.3,0.6,1.3,0.6,1.5,0,0,0,1.0,0.8,0,2.5,0,0,2.5
f,16.5,6.0,5.2,32.1,10.2,0.2,0.4,0,7.1,4.8,0.6,0.4,2.5,5.6,0.4,0.2,0.8,0.2,0,0,0.2,0.8,1.9,3.8
θ,10.8,11.7,4.0,22.1,18.8,0.4,0.2,0.6,5.2,4.0,1.3,0.8,3.1,11.0,0.4,0.2,0,0.2,0.4,0.4,0.2,0.4,0.8,2.5
s,0.6,2.5,0.6,11.0,9.4,58.5,2.5,0.4,1.0,1.3,0.2,0,0,5.6,4.8,0.2,0,0,0,0,1.3,0,0,0
ʃ,0.2,0,0.2,0,0.2,1.0,78.8,16.9,0,0.2,0.2,0,0.4,0,1.3,0.4,0,0,0,0,0,0,0,0.2
ʧ,0.2,4.4,0.6,0.8,0.4,0,0,86.7,0.2,0,0.8,0,0,0,3.5,0.2,0,0,0.2,0,0,0,0,1.3
h,14.6,5.0,4.6,9.6,4.6,0.4,0.4,0,36.7,7.1,0.4,1.7,2.9,2.1,0.4,0,1.7,0.4,0,0,0.4,0.4,1.7,5.0
b,1.7,0.6,2.7,4.8,4.2,0.2,0,0.2,7.5,27.3,5.8,5.2,10.2,6.5,0.4,1.3,1.0,1.9,6.5,1.0,0,2.3,1.5,5.4
d,3.1,0.2,2.5,5.2,1.0,0.4,0,2.3,5.8,28.8,3.8,3.8,10.2,1.0,2.7,3.3,3.5,1.9,12.7,1.5,3.3,0.2,0.2,2.5
g,1.0,2.1,1.3,2.9,4.0,0.4,0,4.4,5.2,4.6,5.8,32.5,9.2,3.8,0.6,1.0,1.3,9.6,1.3,5.0,1.3,1.7,1.0,6.35
v,1.7,1.3,0.8,7.5,3.3,0.4,0.4,4.4,10.6,2.5,5.6,32.5,10.2,0.2,1.9,1.3,1.0,3.5,1.5,0.4,0.8,1.7,2.5,4.0
ð,1.7,1.5,0,9.4,1.7,0.2,0.4,0.8,6.3,13.3,4.2,11.7,23.5,5.0,2.7,4.8,0.6,0.6,2.9,0.4,5.2,0.2,0.4,2.5
z,0.2,0.8,5.8,5.0,0.2,0.2,0.4,1.5,5.8,1.9,10.4,15.4,34.2,2.7,3.3,0.2,0.6,2.9,0.8,1.3,3.8,2.5,0,0
ʤ,0.4,0.6,0.2,0.2,1.5,0.2,0.2,4.0,0.6,1.0,5.0,2.7,0.6,4.4,0.2,9.0,66.7,0.4,0.4,0.2,0,0.6,0.4,0.4
j,0.8,0.4,0,0,0.4,0,0,2.9,3.3,5.4,3.3,1.3,1.3,1.7,2.9,0,65.8,2.5,2.5,0,1.7,2.1,0,2.1
m,0.2,0.2,0.2,1.5,0.4,0,0,1.7,2.7,1.0,1.7,6.7,0.4,0.2,0,0.2,0.4,60.0,9.0,7.1,3.1,1.0,0.8,1.5
n,0,0,0,0,0.6,0,0,0.2,0.4,2.9,0.6,1.9,1.0,0.8,0.4,0.2,0.4,12.5,68.8,5.2,2.1,0.6,0.2,1.8
ŋ,0,0.4,0.4,0.8,0,0,0,0.4,0.4,1.3,9.2,5.8,1.3,0,0.4,0,0,15.4,25.4,35.0,0.8,1.7,0,1.3
l,0.4,0.4,0.4,4.0,1.5,0,0,0.2,0.4,2.5,1.3,1.5,5.0,3.8,0.2,0.2,0.2,1.0,6.9,2.7,62.5,1.5,0.4,3.1
r,0.4,0.4,0.8,1.3,0.4,0,0,1.7,4.2,0,0.8,0.6,1.3,4.4,1.0,0,0,0,1.9,0.4,0,76.5,1.5,1.7
w,0.8,0.4,1.7,4.2,0.8,2.9,0.4,0,4.2,5.8,2.9,0.4,0,0,0,0,0,0,0,0,0,0,73.3,2.1