stimulus,i,ɪ,eɪ,ɛ,æ,ɑ,ʌ,ɔ,oʊ,ʊ,u,aɪ,ɔɪ,aʊ,ɝ,miss
i,86.3,4.2,0.1,3.2,0,0,0,0,0.3,0,0.1,1.6,0.6,0,1.9,1.5
ɪ,1.2,83.1,0.6,9.3,0.6,0,1.6,0,0.1,0.1,0.7,0.4,0,0.1,0.9,1.0
eɪ,3.1,3.6,83.1,3.2,4.2,0,0,0,0.1,0.1,0,0,0,0,0.6,1.2
ɛ,0.6,5.2,2.3,78.8,5.7,0,1.7,1.2,0,0.1,0,0,0.3,0,1.6,2.3
æ,0,0.9,3.8,8.1,80.5,0.3,1.2,0,0,0,0.1,0.3,2.3,1.2,1.2,0
ɑ,0.3,0,1.2,0.6,9.0,37.8,18.6,26.9,0.7,0.1,0,0.4,1.0,0.9,2.5,0
ʌ,0,0.6,1.2,3.6,11.9,65.1,9.7,1.0,1.0,0.1,0.6,0.1,2.2,1.5,1.3,0
ɔ,0.1,0,0.6,1.6,29.9,4.1,56.5,2.3,0.9,0,0.3,1.0,0.9,0,1.7,0
oʊ,0.1,0.3,0,0.1,3.2,0.6,0.7,80.4,4.5,3.6,0,2.3,2.2,0.1,1.7,0
ʊ,0.1,0,0,0.3,2.0,17.9,1.3,0.7,66.0,4.7,0.3,1.6,1.0,0.4,3.6,0
u,3.6,0.7,0.1,0.4,0.4,1.9,1.0,1.0,12.9,72.4,0.1,0.7,2.2,0.6,1.7,0
aɪ,7.1,1.5,0.1,0.1,0.1,0.1,0.1,0,0,0,0,89.4,0.3,0.3,0.6,0
ɔɪ,0.1,0,0.3,0.1,0.3,0.3,0.7,1.3,0.7,0.3,0.1,0,92.4,2.6,0.6,0
aʊ,0.3,0.1,1.5,0.6,2.6,4.4,5.4,0.4,0.1,0,0,1.3,82.0,0.4,0.9
ɝ,0.4,0.3,0,1.3,0,0,0.9,0.1,0,0,0,0,0,0,96.7,0.3