Stimulus,i,ɪ,eɪ,ɛ,æ,ɑ,ʌ,ɔ,oʊ,ʊ,u,aɪ,ɔɪ,aʊ,ɝ
i,78.9,8.3,0.3,2.7,0,0,0,0.3,0,0,0.3,1.8,1.2,0,3.9
ɪ,1.5,81.8,0.9,8.0,0.9,0,1.2,0.3,0,0,0.3,1.5,0.9,0,1.8
eɪ,5.7,5.4,74.4,4.5,5.7,0,0,0.3,0.3,0,0.3,0,0.3,0,1.2
ɛ,0.6,4.2,2.4,84.2,2.7,0,1.2,0,0,0,0,0,0.3,0,3.0
æ,0,1.2,6.5,3.9,78.3,0.6,1.2,0,0,0,0,0.3,0.3,4.8,2.1
ɑ,0.6,0,1.2,0.3,9.8,42.3,12.5,26.8,0.9,0,0.6,0.9,0,0.9,1.8
ʌ,0,0.3,1.2,0,12.5,64.9,8.3,1.8,1.2,0,1.2,0.6,2.1,0.9,3.0
ɔ,0,0.3,0.3,0.6,36.3,4.5,47.3,3.9,1.2,0,0.6,2.1,0.9,0,0
oʊ,0.3,0,4.8,1.2,0.9,0,0,69.6,8.9,6.5,3.3,2.1,0.3,0,0
ʊ,2.1,0,14.0,2.1,0.9,0,0,63.7,6.8,0.3,3.0,2.1,0.9,0,0
u,3.6,1.5,0.3,0.6,3.0,1.5,1.8,19.3,62.5,0.3,1.2,1.8,1.2,0,0.6
aɪ,8.3,2.1,0.3,0,0,0,0,0,0,0,0,87.2,0.6,0.6,0
ɔɪ,0.3,0.6,0.3,0.3,0.6,1.2,0.6,0.3,0,0,0,0,92.9,3.0,0
aʊ,0.3,0.3,2.1,0.6,3.3,7.1,2.4,0.3,0.3,0.9,0,0,0,81.5,0.3
ɝ,0.6,0.3,0,1.5,1.5,0,0,0,0,0,0,0,0,0,95.5