,a,ɑ,æ,ʌ,ɔ,ɛ,e,ə,o,ɪ,i,ʊ,u,p,b,t,d,k,g,f,v,θ,ð,s,z,ʃ,ʒ,h,m,n,ŋ,l,ɹ,j,w,ʧ,ʤ
a,0.0,1.41,1.41,2.0,2.12,1.41,1.81,2.0,2.4,1.41,1.81,2.12,2.4,2.92,2.83,3.24,3.16,3.24,3.16,3.87,3.81,3.87,3.81,3.87,3.81,3.87,3.81,3.87,3.54,3.81,3.81,3.81,3.81,3.81,3.87,3.87,3.81
ɑ,1.41,0.0,2.0,1.41,1.58,2.0,2.3,2.0,1.94,2.0,2.3,1.58,1.94,3.24,3.16,3.54,3.46,3.54,3.46,4.12,4.06,4.12,4.06,4.12,4.06,4.12,4.06,4.12,3.81,4.06,4.06,4.06,4.06,4.06,4.12,4.12,4.06
æ,1.41,2.0,0.0,1.41,1.58,1.41,1.81,2.0,2.4,1.41,1.81,2.12,2.4,3.24,3.16,3.54,3.46,3.54,3.46,4.12,4.06,4.12,4.06,4.12,4.06,4.12,4.06,4.12,3.81,4.06,4.06,4.06,4.06,4.06,4.12,4.12,4.06
ʌ,2.0,1.41,1.41,0.0,0.71,2.0,2.3,2.0,1.94,2.0,2.3,1.58,1.94,3.54,3.46,3.81,3.74,3.81,3.74,4.36,4.3,4.36,4.3,4.36,4.3,4.36,4.3,4.36,4.06,4.3,4.3,4.3,4.3,4.3,4.36,4.36,4.3
ɔ,2.12,1.58,1.58,0.71,0.0,2.12,2.4,2.12,1.81,2.12,2.4,1.41,1.81,3.61,3.54,3.87,3.81,3.87,3.81,4.42,4.36,4.42,4.36,4.42,4.36,4.42,4.36,4.42,4.12,4.36,4.36,4.36,4.36,4.36,4.3,4.42,4.36
ɛ,1.41,2.0,1.41,2.0,2.12,0.0,1.13,1.41,1.94,1.41,1.81,2.12,2.4,3.24,3.16,3.54,3.46,3.54,3.46,4.12,4.06,4.12,4.06,4.12,4.06,4.12,4.06,4.12,3.81,4.06,4.06,4.06,4.06,4.06,4.12,4.12,4.06
e,1.81,2.3,1.81,2.3,2.4,1.13,0.0,1.81,1.58,1.81,1.41,2.4,2.12,3.43,3.36,3.71,3.64,3.71,3.64,4.28,4.22,4.28,4.22,4.28,4.22,4.28,4.22,4.28,3.97,4.22,4.22,4.22,4.22,4.22,4.28,4.28,4.22
ə,2.0,2.0,2.0,2.0,2.12,1.41,1.81,0.0,1.94,2.0,2.3,2.12,2.4,3.54,3.46,3.81,3.74,3.81,3.74,4.36,4.3,4.36,4.3,4.36,4.3,4.36,4.3,4.36,4.06,4.3,4.3,4.3,4.3,4.3,4.36,4.36,4.3
o,2.4,1.94,2.4,1.94,1.81,1.94,1.58,1.94,0.0,2.4,2.12,1.81,1.41,3.78,3.71,4.03,3.97,4.03,3.97,4.56,4.5,4.56,4.5,4.56,4.5,4.56,4.5,4.56,4.28,4.5,4.5,4.5,4.5,4.5,4.45,4.56,4.5
ɪ,1.41,2.0,1.41,2.0,2.12,1.41,1.81,2.0,2.4,0.0,1.13,1.58,1.94,3.24,3.16,3.54,3.46,3.54,3.46,4.12,4.06,4.12,4.06,4.12,4.06,4.12,4.06,4.12,3.81,4.06,4.06,4.06,4.06,4.06,4.12,4.12,4.06
i,1.81,2.3,1.81,2.3,2.4,1.81,1.41,2.3,2.12,1.13,0.0,1.94,1.58,3.43,3.36,3.71,3.64,3.71,3.64,4.28,4.22,4.28,4.22,4.28,4.22,4.28,4.22,4.28,3.97,4.22,4.22,4.22,4.22,4.22,4.28,4.28,4.22
ʊ,2.12,1.58,2.12,1.58,1.41,2.12,2.4,2.12,1.81,1.58,1.94,0.0,1.13,3.61,3.54,3.87,3.81,3.87,3.81,4.42,4.36,4.42,4.36,4.42,4.36,4.42,4.36,4.42,4.12,4.36,4.36,4.36,4.36,4.36,4.3,4.42,4.36
u,2.4,1.94,2.4,1.94,1.81,2.4,2.12,2.4,1.41,1.94,1.58,1.13,0.0,3.78,3.71,4.03,3.97,4.03,3.97,4.56,4.5,4.56,4.5,4.56,4.5,4.56,4.5,4.56,4.28,4.5,4.5,4.5,4.5,4.5,4.45,4.56,4.5
p,2.92,3.24,3.24,3.54,3.61,3.24,3.43,3.54,3.78,3.24,3.43,3.61,3.78,0.0,0.71,1.41,1.58,1.41,1.58,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.24,2.65,2.65,2.65,2.65,2.65,2.74,2.55,2.65
b,2.83,3.16,3.16,3.46,3.54,3.16,3.36,3.46,3.71,3.16,3.36,3.54,3.71,0.71,0.0,1.58,1.41,1.58,1.41,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.12,2.55,2.55,2.55,2.55,2.55,2.65,2.65,2.55
t,3.24,3.54,3.54,3.81,3.87,3.54,3.71,3.81,4.03,3.54,3.71,3.87,4.03,1.41,1.58,0.0,0.71,1.41,1.58,2.55,2.65,2.55,2.65,2.12,2.24,2.55,2.65,2.55,2.65,2.24,2.65,2.24,2.24,2.65,2.74,2.55,2.65
d,3.16,3.46,3.46,3.74,3.81,3.46,3.64,3.74,3.97,3.46,3.64,3.81,3.97,1.58,1.41,0.71,0.0,1.58,1.41,2.65,2.55,2.65,2.55,2.24,2.12,2.65,2.55,2.65,2.55,2.12,2.55,2.12,2.12,2.55,2.65,2.65,2.55
k,3.24,3.54,3.54,3.81,3.87,3.54,3.71,3.81,4.03,3.54,3.71,3.87,4.03,1.41,1.58,1.41,1.58,0.0,0.71,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.65,2.24,2.65,2.65,2.65,2.35,2.55,2.65
g,3.16,3.46,3.46,3.74,3.81,3.46,3.64,3.74,3.97,3.46,3.64,3.81,3.97,1.58,1.41,1.58,1.41,0.71,0.0,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.55,2.12,2.55,2.55,2.55,2.24,2.65,2.55
f,3.87,4.12,4.12,4.36,4.42,4.12,4.28,4.36,4.56,4.12,4.28,4.42,4.56,2.55,2.65,2.55,2.65,2.55,2.65,0.0,0.71,1.41,1.58,1.41,1.58,1.41,1.58,1.41,2.65,2.65,2.65,2.65,2.65,2.65,2.74,2.55,2.65
v,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.65,2.55,2.65,2.55,0.71,0.0,1.58,1.41,1.58,1.41,1.58,1.41,1.58,2.55,2.55,2.55,2.55,2.55,2.55,2.65,2.65,2.55
θ,3.87,4.12,4.12,4.36,4.42,4.12,4.28,4.36,4.56,4.12,4.28,4.42,4.56,2.55,2.65,2.55,2.65,2.55,2.65,1.41,1.58,0.0,0.71,1.41,1.58,1.41,1.58,1.41,2.65,2.65,2.65,2.65,2.65,2.65,2.74,2.55,2.65
ð,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.65,2.55,2.65,2.55,1.58,1.41,0.71,0.0,1.58,1.41,1.58,1.41,1.58,2.55,2.55,2.55,2.55,2.55,2.55,2.65,2.65,2.55
s,3.87,4.12,4.12,4.36,4.42,4.12,4.28,4.36,4.56,4.12,4.28,4.42,4.56,2.55,2.65,2.12,2.24,2.55,2.65,1.41,1.58,1.41,1.58,0.0,0.71,1.41,1.58,1.41,2.65,2.24,2.65,2.24,2.24,2.65,2.74,2.55,2.65
z,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.24,2.12,2.65,2.55,1.58,1.41,1.58,1.41,0.71,0.0,1.58,1.41,1.58,2.55,2.12,2.55,2.12,2.12,2.55,2.65,2.65,2.55
ʃ,3.87,4.12,4.12,4.36,4.42,4.12,4.28,4.36,4.56,4.12,4.28,4.42,4.56,2.55,2.65,2.55,2.65,2.55,2.65,1.41,1.58,1.41,1.58,1.41,1.58,0.0,0.71,1.41,2.65,2.65,2.65,2.65,2.65,2.24,2.74,2.12,2.24
ʒ,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.65,2.55,2.65,2.55,1.58,1.41,1.58,1.41,1.58,1.41,0.71,0.0,1.58,2.55,2.55,2.55,2.55,2.55,2.12,2.65,2.24,2.12
h,3.87,4.12,4.12,4.36,4.42,4.12,4.28,4.36,4.56,4.12,4.28,4.42,4.56,2.55,2.65,2.55,2.65,2.55,2.65,1.41,1.58,1.41,1.58,1.41,1.58,1.41,1.58,0.0,2.65,2.65,2.65,2.65,2.65,2.65,2.74,2.55,2.65
m,3.54,3.81,3.81,4.06,4.12,3.81,3.97,4.06,4.28,3.81,3.97,4.12,4.28,2.24,2.12,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,0.0,1.41,1.41,2.55,2.55,2.55,2.65,2.65,2.55
n,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.24,2.12,2.65,2.55,2.65,2.55,2.65,2.55,2.24,2.12,2.65,2.55,2.65,1.41,0.0,1.41,2.12,2.12,2.55,2.65,2.65,2.55
ŋ,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.65,2.55,2.24,2.12,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,1.41,1.41,0.0,2.55,2.55,2.55,2.24,2.65,2.55
l,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.24,2.12,2.65,2.55,2.65,2.55,2.65,2.55,2.24,2.12,2.65,2.55,2.65,2.55,2.12,2.55,0.0,2.12,2.55,2.65,2.65,2.55
ɹ,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.24,2.12,2.65,2.55,2.65,2.55,2.65,2.55,2.24,2.12,2.65,2.55,2.65,2.55,2.12,2.55,2.12,0.0,1.41,1.58,2.65,2.55
j,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.24,2.12,2.65,2.55,2.55,2.55,2.55,1.41,0.0,1.58,2.24,2.12
w,3.87,4.12,4.12,4.36,4.3,4.12,4.28,4.36,4.45,4.12,4.28,4.3,4.45,2.74,2.65,2.74,2.65,2.35,2.24,2.74,2.65,2.74,2.65,2.74,2.65,2.74,2.65,2.74,2.65,2.65,2.24,2.65,1.58,1.58,0.0,2.74,2.65
ʧ,3.87,4.12,4.12,4.36,4.42,4.12,4.28,4.36,4.56,4.12,4.28,4.42,4.56,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.12,2.24,2.55,2.65,2.65,2.65,2.65,2.65,2.24,2.74,0.0,0.71
ʤ,3.81,4.06,4.06,4.3,4.36,4.06,4.22,4.3,4.5,4.06,4.22,4.36,4.5,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.65,2.55,2.24,2.12,2.65,2.55,2.55,2.55,2.55,2.55,2.12,2.65,0.71,0.0
